Customer Id, Information
001,Terisi
002,Terisi
,Kosong
,Kosong
003,Terisi
,Kosong
004,Terisi
005,Terisi
006,Terisi
,Kosong
007,Terisi
008,Terisi
009,Terisi
,Kosong
,Kosong
010,Terisi
,Kosong
011,Terisi
012,Terisi
013,Terisi
,Kosong
014,Terisi
,Kosong
,Kosong
015,Terisi
016,Terisi
017,Terisi
,Kosong
018,Terisi
019,Terisi
,Kosong
020,Terisi
,Kosong
021,Terisi
022,Terisi
023,Terisi
,Kosong
,Kosong
024,Terisi
,Kosong
025,Terisi
,Kosong
026,Terisi
027,Terisi
,Kosong
028,Terisi
029,Terisi
,Kosong
,Kosong
,Kosong
,Kosong
030,Terisi
031,Terisi
,Kosong
,Kosong
032,Terisi
,Kosong
033,Terisi
034,Terisi
,Kosong
035,Terisi
,Kosong
036,Terisi
,Kosong
037,Terisi
,Kosong
038,Terisi
039,Terisi
,Kosong
040,Terisi
,Kosong
041,Terisi
,Kosong
042,Terisi
,Kosong
043,Terisi
044,Terisi
,Kosong
045,Terisi
046,Terisi
,Kosong
047,Terisi
,Kosong
048,Terisi
,Kosong
049,Terisi
,Kosong
,Kosong
,Kosong
,Kosong
,Kosong
,Kosong
