RES_ID,RESPONSE,LABEL,DATA_TYPE,DATA_GROUP,BACK_TRANSLATED_RESPONSE,CLEAN_RESPONSE,CORRECTED_RESPONSE,NORMALIZE_RESPONSE
TRA1,intetraksi/beradaptasi terhadap lingkungan yang baru.,1,TRAIN,A,Interaksi/beradaptasi dengan lingkungan baru.,interaksiberadaptasi dengan lingkungan baru,interaksiberadaptasi dengan lingkungan baru,interaksiberadaptasi dengan lingkungan baru
TRA2,seperti jatuhnya meteor tsunami gempa bumi,0,TRAIN,A,Seperti jatuhnya gempa bumi gempa bumi,seperti jatuhnya gempa bumi gempa bumi,seperti satunya gempa bumi gempa bumi,seperti satunya gempa bumi gempa bumi
TRA3,hanya tuhan yang tahu tantangan nya itu apaan,0,TRAIN,A,Hanya Tuhan yang tahu apa tantangannya,hanya tuhan yang tahu apa tantangannya,hanya tuhan yang tahu apa tantangannya,hanya tuhan yang tahu apa tantangannya
TRA4,mereka akan sulit beradaptasi,1,TRAIN,A,Mereka akan sulit untuk beradaptasi,mereka akan sulit untuk beradaptasi,mereka akan sulit untuk beradaptasi,mereka akan sulit untuk beradaptasi
TRA5,"Tempat tinggal, ekonomi, dan pekerjaan",1,TRAIN,A,"Tempat tinggal, ekonomi, dan pekerjaan",tempat tinggal ekonomi dan pekerjaan,tempat tinggal ekonomi dan pekerjaan,tempat tinggal ekonomi dan pekerjaan
TRA6,akan terganggu dengan kesehatanya karena merekanperlu beradaptasi dengan lingkungan yang baru.,1,TRAIN,A,akan terganggu oleh kesehatannya karena mereka perlu beradaptasi dengan lingkungan baru.,akan terganggu oleh kesehatannya karena mereka perlu beradaptasi dengan lingkungan baru,akan terganggu oleh kelihatannya karena mereka perlu beradaptasi dengan lingkungan baru,akan terganggu oleh kelihatannya karena mereka perlu beradaptasi dengan lingkungan baru
TRA7,Mereka tidak akan di hormati oleh orang layaknya mereka di hormati di dalam tempat tinggal mereka yang lama,0,TRAIN,A,Mereka tidak akan dihormati oleh orang -orang karena mereka dihormati di kediaman lama mereka,mereka tidak akan dihormati oleh orang orang karena mereka dihormati di kediaman lama mereka,mereka tidak akan dihormati oleh orang orang karena mereka dihormati di kediaman lama mereka,mereka tidak akan dihormati oleh orang orang karena mereka dihormati di kediaman lama mereka
TRA8,mereka akan kehilangan lahan pertanian.,1,TRAIN,A,Mereka akan kehilangan lahan pertanian.,mereka akan kehilangan lahan pertanian,mereka akan kehilangan lahan pertanian,mereka akan kehilangan lahan pertanian
TRA9,"Pada kasus-kasus seperti salah satunya yang terjadi di Travina, warga mungkin dipaksa untuk menjadi ""pengungsi iklim”. Pengungsi iklim adalah orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.",0,TRAIN,A,"Dalam kasus -kasus seperti salah satu dari mereka yang terjadi di Travina, penduduk mungkin dipaksa untuk menjadi ""pengungsi iklim"". Pengungsi iklim adalah orang -orang yang dipaksa meninggalkan komunitas atau negara mereka karena bencana lingkungan.",dalam kasus kasus seperti salah satu dari mereka yang terjadi di travina penduduk mungkin dipaksa untuk menjadi pengungsi iklim pengungsi iklim adalah orang orang yang dipaksa meninggalkan komunitas atau negara mereka karena bencana lingkungan,dalam kasus kasus seperti salah satu dari mereka yang terjadi di trivia penduduk mungkin paksa untuk menjadi pengungsi iklim pengungsi iklim adalah orang orang yang paksa meninggalkan komunitas atau negara mereka karena bencana lingkungan,dalam kasus kasus seperti salah satu dari mereka yang terjadi di trivia penduduk mungkin paksa untuk menjadi pengungsi iklim pengungsi iklim adalah orang orang yang paksa meninggalkan komunitas atau negara mereka karena bencana lingkungan
TRA10,mendapat musibah dan melawannya,0,TRAIN,A,Dapatkan bencana dan lawan,dapatkan bencana dan lawan,dapatan bencana dan lawan,dapatan bencana dan lawan
TRA11,karena mereka butuh tempat tinggal baru,1,TRAIN,A,karena mereka membutuhkan tempat baru untuk tinggal,karena mereka membutuhkan tempat baru untuk tinggal,karena mereka membutuhkan tempat baru untuk tinggal,karena mereka membutuhkan tempat baru untuk tinggal
TRA12,Akan kehilangan tempat tinggal yang lama atau komunitas karena bencana alam.,0,TRAIN,A,Akan kehilangan tempat tinggal atau komunitas yang panjang karena bencana alam.,akan kehilangan tempat tinggal atau komunitas yang panjang karena bencana alam,akan kehilangan tempat tinggal atau komunitas yang panjang karena bencana alam,akan kehilangan tempat tinggal atau komunitas yang panjang karena bencana alam
TRA13,mereka akan pindah ke tempat yang dulu,0,TRAIN,A,Mereka akan pindah ke tempat lama,mereka akan pindah ke tempat lama,mereka akan pindah ke tempat lama,mereka akan pindah ke tempat lama
TRA14,beradaptasi,1,TRAIN,A,menyesuaikan,menyesuaikan,menyesuaikan,menyesuaikan
TRA15,Pengungsi iklim ini orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.,0,TRAIN,A,Pengungsi iklim dipaksa meninggalkan komunitas atau negara mereka karena bencana lingkungan.,pengungsi iklim dipaksa meninggalkan komunitas atau negara mereka karena bencana lingkungan,pengungsi iklim paksa meninggalkan komunitas atau negara mereka karena bencana lingkungan,pengungsi iklim paksa meninggalkan komunitas atau negara mereka karena bencana lingkungan
TRA16,karna mereka tidak mau terkena iklim yang sangat beser,0,TRAIN,A,karena mereka tidak ingin terpapar iklim yang sangat besar,karena mereka tidak ingin terpapar iklim yang sangat besar,karena mereka tidak ingin terpapar iklim yang sangat besar,karena mereka tidak ingin terpapar iklim yang sangat besar
TRA17,keadaan yg tidak memadai serta kurangnya fasilitas di tempat pengungsian kegiatan jadi tidak dapat dilakukan seperti biasanya maknanya mereka tidak bebas melakukan sesuatu,1,TRAIN,A,situasi yang tidak memadai dan kurangnya fasilitas di kamp -kamp pengungsi sehingga tidak dapat dilakukan seperti biasa makna mereka tidak bebas untuk melakukan sesuatu,situasi yang tidak memadai dan kurangnya fasilitas di kamp kamp pengungsi sehingga tidak dapat dilakukan seperti biasa makna mereka tidak bebas untuk melakukan sesuatu,situasi yang tidak memadai dan kurangnya fasilitas di kamp kamp pengungsi sehingga tidak dapat dielakkan seperti biasa makna mereka tidak bebas untuk melakukan sesuatu,situasi yang tidak memadai dan kurangnya fasilitas di kamp kamp pengungsi sehingga tidak dapat dielakkan seperti biasa makna mereka tidak bebas untuk melakukan sesuatu
TRA18,Pengungsi iklim adalah orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.,0,TRAIN,A,Pengungsi iklim adalah orang -orang yang dipaksa meninggalkan komunitas atau negara mereka karena bencana lingkungan.,pengungsi iklim adalah orang orang yang dipaksa meninggalkan komunitas atau negara mereka karena bencana lingkungan,pengungsi iklim adalah orang orang yang paksa meninggalkan komunitas atau negara mereka karena bencana lingkungan,pengungsi iklim adalah orang orang yang paksa meninggalkan komunitas atau negara mereka karena bencana lingkungan
TRA19,fkjgrioejtklejtdfljlkgr,0,TRAIN,A,Fkjgrioejtklejtdfljlkgr,fkjgrioejtklejtdfljlkgr,fkjgrioejtklejtdfljlkgr,fkjgrioejtklejtdfljlkgr
TRA20,merasa aneh,0,TRAIN,A,merasa aneh,merasa aneh,merasa aneh,merasa aneh
